Coluna1;A1;A2;I1;I2;I5;G1;G2;G4;G5;F1;S1;S2
A1;0;2.46;1.92;0;0;0;0;2.15;2.38;0;0;0
A2;0;0;0;0;0;0;0;0;0;2.31;0;1.69
I1;1.67;2.17;0;1.75;0;0;0;0;0;2.17;0;1.25
I2;2.5;2.5;2.58;0;2.25;0;0;0;0;0;0;1.5
I5;1.58;0;0;0;0;0;0;0;0;1.33;0;0
G1;2.0;2.0;0;0;0;0;1.58;2.5;2.25;0;0;1.92
G2;0;0;0;1.83;1.58;0;0;2.0;0;0;0;0
G4;2.25;2.25;2.17;2.17;1.92;2.08;1.92;0;2.17;0;0;0
G5;2.17;2.42;2.25;0;2.25;0;2.0;2.17;0;0;0;0
F1;0;2.67;2.75;2.5;2.36;0;0;0;0;0;1.45;0
S1;0;0;0;1.73;0;0;0;2.18;0;0;0;0
S2;0;0;0;0;0;0;0;1.82;0;0;0;1.73
